,Planar,Macroscopic
159,-4.896279213176559,-4.217856793841687
160,-5.476361346957632,-4.217230148777724
161,-6.040420040397381,-4.216598695232727
162,-6.570053836271853,-4.215962639784839
163,-7.049188056712555,-4.21531997867741
164,-7.468378112312475,-4.2146669219661055
165,-7.820120346638397,-4.213998137151532
166,-8.095326276870084,-4.213307510042213
167,-8.310961767983784,-4.212588475067833
168,-8.493995671303791,-4.211834669364166
169,-8.66341091575353,-4.211040009586592
170,-8.832641469745255,-4.2101990834502345
171,-9.00364865569216,-4.209307014675012
172,-9.164385893870518,-4.208359784524583
173,-9.294291328995469,-4.207354121180384
174,-9.373849637152777,-4.206287918585779
175,-9.400027547665303,-4.205160175651976
176,-9.373338148837556,-4.203971386820158
177,-9.293204131038003,-4.202723320577813
178,-9.162600794292619,-4.201419184865446
179,-9.00099553124235,-4.20006311483443
180,-8.828918867218892,-4.1986600855970595
181,-8.658400967084335,-4.197215183125579
182,-8.487482824295114,-4.195733416590669
183,-8.302744497985381,-4.1942189595237656
184,-8.085232902915587,-4.192675063604507
185,-7.808016389273899,-4.19110347657986
186,-7.454180784629169,-4.189504631494132
187,-7.0328707311622995,-4.187877328075875
188,-6.551657675946899,-4.186219175028284
189,-6.02004885546684,-4.1845263954583976
190,-5.454179199204488,-4.1827942934161575
191,-4.872483812813456,-4.181016921672212
192,-4.295013307842309,-4.17918736541571
193,-3.733730840121192,-4.177297172922369
194,-3.2060904514464585,-4.175336506661686
195,-2.723419365358955,-4.173293545346366
196,-2.2835201863282535,-4.171154821334517
197,-1.8685356241153488,-4.168904932471841
198,-1.4721945043117448,-4.166527339404879
199,-1.1052110580787984,-4.164004501064498
200,-0.7746082935746775,-4.16131905849796
201,-0.48226564561042984,-4.158454150616388
202,-0.21809925575428513,-4.155394640338279
203,0.029745077715547484,-4.1521272383379095
204,0.2606188396644085,-4.148641442880037
205,0.4704295490913337,-4.144929230891214
206,0.6554778926639397,-4.14098558417468
207,0.8033387143778271,-4.136807695155254
208,0.9065267203548858,-4.132395096591447
209,0.9728019526589156,-4.127748463648713
210,1.0001313909470861,-4.122869511198216
211,0.9817784806695983,-4.117759640382848
212,0.9243429391919388,-4.1124199593762025
213,0.8297325020051051,-4.106850191324516
214,0.6900791010256664,-4.1010492125235505
215,0.5127885389734994,-4.095014453904162
